# LAB = 1 - N = 256 - CODE = original - COMPILER: gcc-9, clang-10
# OBJ = combinar distintas optimizaciones y flags.
# CPU = desktop
Flags,Gflops_Vel,Gflops_Force,Gflops_Verlet,Gflops_total
clang, -O0,0.497745,0.955159,0.008838,0.011478
clang, -O0,0.563416,1.072483,0.008996,0.011687
clang, -O0,0.495156,0.939778,0.008982,0.01167
clang, -O0,0.589009,1.090114,0.008986,0.011677
clang, -O0,0.476929,0.914144,0.009025,0.011726
clang, -O0,0.553069,1.059763,0.008988,0.011679
clang, -O0,0.528413,1.119317,0.00898,0.011669
clang, -O0,0.527952,1.011449,0.008982,0.011672
clang, -O0,0.441472,0.858781,0.008996,0.011688
clang, -O0,0.584801,1.128861,0.00901,0.011708
clang, -O1,0.742314,2.595066,0.021001,0.026993
clang, -O1,0.747167,2.608468,0.020991,0.026983
clang, -O1,0.667953,2.389339,0.020946,0.026924
clang, -O1,0.642763,2.306808,0.020849,0.0268
clang, -O1,0.661814,2.403026,0.021044,0.027049
clang, -O1,0.699574,2.455695,0.020918,0.026885
clang, -O1,0.602994,2.233339,0.021041,0.027043
clang, -O1,0.728804,2.535578,0.020915,0.026876
clang, -O1,0.63204,2.297766,0.020939,0.026903
clang, -O1,0.687192,2.337085,0.020826,0.026771
clang, -O1 -march=native,0.744835,2.609799,0.020897,0.026856
clang, -O1 -march=native,0.633114,2.490949,0.020158,0.025902
clang, -O1 -march=native,0.654068,2.360035,0.020693,0.0266
clang, -O1 -march=native,0.634856,2.322044,0.019967,0.025663
clang, -O1 -march=native,0.576823,2.141703,0.020152,0.025898
clang, -O1 -march=native,0.619452,2.267613,0.020797,0.026729
clang, -O1 -march=native,0.581251,2.158075,0.020442,0.026273
clang, -O1 -march=native,0.657298,2.382659,0.020171,0.025924
clang, -O1 -march=native,0.576171,2.199948,0.02042,0.026246
clang, -O1 -march=native,0.669735,2.410432,0.020101,0.025834
clang, -O1 -march=native -ffast-math,0.721716,2.595144,0.020466,0.026305
clang, -O1 -march=native -ffast-math,0.727917,2.609351,0.020437,0.026267
clang, -O1 -march=native -ffast-math,0.630363,2.340886,0.020493,0.026336
clang, -O1 -march=native -ffast-math,0.598473,2.210537,0.018327,0.023555
clang, -O1 -march=native -ffast-math,0.55776,2.08496,0.017723,0.022778
clang, -O1 -march=native -ffast-math,0.568966,2.111983,0.017668,0.022709
clang, -O1 -march=native -ffast-math,0.557664,2.078189,0.017688,0.022731
clang, -O1 -march=native -ffast-math,0.585989,2.186778,0.01787,0.022963
clang, -O1 -march=native -ffast-math,0.519212,1.979338,0.017629,0.022657
clang, -O1 -march=native -ffast-math,0.603753,2.21856,0.017703,0.022747
clang, -O1 -march=native -funroll-loops,0.628393,2.196656,0.01717,0.022077
