# LAB = 1 - N = 256 - CODE = original - COMPILER: gcc-8/9/10, clang-10/11/12
# OBJ = comparar versiones con optimizaciones y flags óptimos
# CPU = desktop
Flags,Gflops_Force
clang-10, -O2 -march=native -funroll-loops,3.401905
clang-10, -O2 -march=native -funroll-loops,3.382703
clang-10, -O2 -march=native -funroll-loops,3.338291
clang-10, -O2 -march=native -funroll-loops,3.249231
clang-10, -O2 -march=native -funroll-loops,3.197721
clang-10, -O2 -march=native -funroll-loops,3.279528
clang-10, -O2 -march=native -funroll-loops,3.148566
clang-10, -O2 -march=native -funroll-loops,3.085484
clang-10, -O2 -march=native -funroll-loops,3.009763
clang-10, -O2 -march=native -funroll-loops,3.054299
clang-10, -O3 -march=native -funroll-loops,3.3247
clang-10, -O3 -march=native -funroll-loops,3.489021
clang-10, -O3 -march=native -funroll-loops,3.264847
clang-10, -O3 -march=native -funroll-loops,3.278005
clang-10, -O3 -march=native -funroll-loops,2.967521
clang-10, -O3 -march=native -funroll-loops,3.045832
clang-10, -O3 -march=native -funroll-loops,3.083166
clang-10, -O3 -march=native -funroll-loops,3.291865
clang-10, -O3 -march=native -funroll-loops,3.049332
clang-10, -O3 -march=native -funroll-loops,3.315318
clang-11, -O2 -march=native -funroll-loops,3.401426
clang-11, -O2 -march=native -funroll-loops,3.399412
clang-11, -O2 -march=native -funroll-loops,3.203727
clang-11, -O2 -march=native -funroll-loops,3.370156
clang-11, -O2 -march=native -funroll-loops,3.023205
clang-11, -O2 -march=native -funroll-loops,3.179265
clang-11, -O2 -march=native -funroll-loops,3.022781
clang-11, -O2 -march=native -funroll-loops,3.026682
clang-11, -O2 -march=native -funroll-loops,3.216572
clang-11, -O2 -march=native -funroll-loops,3.392539
clang-11, -O3 -march=native -funroll-loops,3.465609
clang-11, -O3 -march=native -funroll-loops,3.450144
clang-11, -O3 -march=native -funroll-loops,2.905973
clang-11, -O3 -march=native -funroll-loops,3.070826
clang-11, -O3 -march=native -funroll-loops,3.062409
clang-11, -O3 -march=native -funroll-loops,3.445404
clang-11, -O3 -march=native -funroll-loops,3.08313
clang-11, -O3 -march=native -funroll-loops,3.264371
clang-11, -O3 -march=native -funroll-loops,3.103873
clang-11, -O3 -march=native -funroll-loops,3.297937
clang-12, -O2 -march=native -funroll-loops,3.128187
clang-12, -O2 -march=native -funroll-loops,3.202013
clang-12, -O2 -march=native -funroll-loops,2.858857
clang-12, -O2 -march=native -funroll-loops,3.040933
clang-12, -O2 -march=native -funroll-loops,2.886827
clang-12, -O2 -march=native -funroll-loops,2.868449
clang-12, -O2 -march=native -funroll-loops,3.198359
clang-12, -O2 -march=native -funroll-loops,2.709045
clang-12, -O2 -march=native -funroll-loops,3.197581
clang-12, -O2 -march=native -funroll-loops,2.837118
clang-12, -O3 -march=native -funroll-loops,3.291033
clang-12, -O3 -march=native -funroll-loops,3.311897
clang-12, -O3 -march=native -funroll-loops,2.95006
clang-12, -O3 -march=native -funroll-loops,2.998168
clang-12, -O3 -march=native -funroll-loops,2.984499
clang-12, -O3 -march=native -funroll-loops,3.365072
clang-12, -O3 -march=native -funroll-loops,3.038817
clang-12, -O3 -march=native -funroll-loops,3.170161
clang-12, -O3 -march=native -funroll-loops,2.830388
clang-12, -O3 -march=native -funroll-loops,3.188059
gcc-8, -O3 -march=native -funroll-loops,3.332277
gcc-8, -O3 -march=native -funroll-loops,3.363725
gcc-8, -O3 -march=native -funroll-loops,2.935797
gcc-8, -O3 -march=native -funroll-loops,3.134101
gcc-8, -O3 -march=native -funroll-loops,2.986494
gcc-8, -O3 -march=native -funroll-loops,3.203676
gcc-8, -O3 -march=native -funroll-loops,2.90875
gcc-8, -O3 -march=native -funroll-loops,3.333727
gcc-8, -O3 -march=native -funroll-loops,3.002723
gcc-8, -O3 -march=native -funroll-loops,3.25558
gcc-8, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.492141
gcc-8, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.560474
gcc-8, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.163177
gcc-8, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.41449
gcc-8, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.437621
gcc-8, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.421548
gcc-8, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.127862
gcc-8, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.331623
gcc-8, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.252226
gcc-8, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.605011
gcc-9, -O3 -march=native -funroll-loops,3.302843
gcc-9, -O3 -march=native -funroll-loops,3.38876
gcc-9, -O3 -march=native -funroll-loops,3.135166
gcc-9, -O3 -march=native -funroll-loops,3.077608
gcc-9, -O3 -march=native -funroll-loops,3.227212
gcc-9, -O3 -march=native -funroll-loops,3.157483
gcc-9, -O3 -march=native -funroll-loops,2.562227
gcc-9, -O3 -march=native -funroll-loops,2.997444
gcc-9, -O3 -march=native -funroll-loops,3.269288
gcc-9, -O3 -march=native -funroll-loops,3.216091
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,4.035726
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,4.156713
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.931767
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.911658
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.526699
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,4.046056
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.872028
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.829682
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.907665
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.903099
gcc-10, -O3 -march=native -funroll-loops,3.481063
gcc-10, -O3 -march=native -funroll-loops,3.495061
gcc-10, -O3 -march=native -funroll-loops,3.233467
gcc-10, -O3 -march=native -funroll-loops,3.205606
gcc-10, -O3 -march=native -funroll-loops,3.316906
gcc-10, -O3 -march=native -funroll-loops,3.339633
gcc-10, -O3 -march=native -funroll-loops,3.145063
gcc-10, -O3 -march=native -funroll-loops,3.008156
gcc-10, -O3 -march=native -funroll-loops,3.329992
gcc-10, -O3 -march=native -funroll-loops,3.491957
gcc-10, -Ofast -march=native -ffast-math -funroll-loops -floop-block,4.069582
gcc-10, -Ofast -march=native -ffast-math -funroll-loops -floop-block,4.086473
gcc-10, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.829791
gcc-10, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.868579
gcc-10, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.939882
gcc-10, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.860171
gcc-10, -Ofast -march=native -ffast-math -funroll-loops -floop-block,4.131672
gcc-10, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.88187
gcc-10, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.807366
gcc-10, -Ofast -march=native -ffast-math -funroll-loops -floop-block,3.598139
