# LAB = 1 - N = 256 a 2916 - CODE = original - COMPILER: gcc-9
# FLAGS = -Ofast -march=native -ffast-math -funroll-loops -floop-block
# OBJ = barrer partículas con flags óptimos
# CPU = desktop
N,Gflops_Force
256,4.001001
256,4.147951
256,3.924844
256,4.167192
256,3.852399
256,3.945881
256,3.945302
256,3.7178
256,3.728372
256,3.711101
500,5.168589
500,5.142311
500,5.190436
500,4.942598
500,4.778455
500,4.890711
500,4.589772
500,4.946251
500,4.37942
500,4.590413
864,5.827213
864,5.870253
864,5.122109
864,5.648854
864,5.87088
864,5.589421
864,4.854181
864,4.680076
864,4.957782
864,4.853282
1372,5.290725
1372,6.310927
1372,6.123722
1372,5.819819
1372,4.907891
1372,5.074666
1372,5.063086
1372,5.189608
1372,6.171539
1372,5.869154
2048,5.443039
2048,5.494854
2048,5.942161
2048,5.482431
2048,5.495705
2048,5.78532
2048,5.590698
2048,5.358005
2048,5.917776
2048,5.915151
2916,5.802598
2916,5.74053
2916,5.646591
2916,5.578784
2916,5.703539
2916,5.657084
2916,6.355333
2916,5.944954
2916,5.943738
2916,5.780098
