N,GFLOPS
256,23.624181
256,22.615698
256,23.660248
256,23.92445
256,23.843344
256,23.744426
256,23.583757
256,23.472628
256,23.659017
256,23.845612
500,27.923328
500,27.894511
500,28.134958
500,28.014428
500,27.820623
500,27.968998
500,28.102554
500,27.988651
500,28.028876
500,27.779839
864,31.730248
864,31.458798
864,31.175251
864,31.465354
864,30.901368
864,31.492048
864,31.370722
864,31.294063
864,31.302585
864,31.250304
1372,34.482242
1372,34.336026
1372,34.367761
1372,34.37182
1372,34.284469
1372,34.266888
1372,34.400226
1372,34.013331
1372,34.387167
1372,34.334058
2048,33.396351
2048,33.517934
2048,33.467167
2048,33.621194
2048,33.590319
2048,33.411888
2048,33.179112
2048,33.524053
2048,33.4564
2048,33.437258
2916,36.819184
2916,36.808562
2916,36.861163
2916,36.544815
2916,36.764687
2916,36.784302
2916,36.748065
2916,36.639392
2916,36.882988
2916,36.768078
4000,35.638687
4000,35.17544
4000,35.575275
4000,35.857588
4000,35.724531
4000,35.665234
4000,35.660358
4000,35.746816
4000,35.497644
5324,38.278501
5324,37.728177
5324,38.448033
5324,38.20775
5324,38.419585
5324,37.688784
5324,38.51846
5324,38.448465
5324,38.611451
5324,38.402578
6912,36.620256

