# LAB = 1 - N = 256 - CODE = original - COMPILER: gcc-9, clang-10
# OBJ = comparar versiones con optimizaciones y flags óptimos
# CPU = jupiterace
Flags,GFLOPS
clang-10, -O2 -march=native -funroll-loops,14.548458
clang-10, -O2 -march=native -funroll-loops,14.600237
clang-10, -O2 -march=native -funroll-loops,14.573357
clang-10, -O2 -march=native -funroll-loops,14.507179
clang-10, -O2 -march=native -funroll-loops,14.500629
clang-10, -O2 -march=native -funroll-loops,14.620094
clang-10, -O2 -march=native -funroll-loops,14.551914
clang-10, -O2 -march=native -funroll-loops,14.546025
clang-10, -O2 -march=native -funroll-loops,14.60075
clang-10, -O2 -march=native -funroll-loops,14.67388
clang-10, -O3 -march=native -funroll-loops,14.879366
clang-10, -O3 -march=native -funroll-loops,14.826342
clang-10, -O3 -march=native -funroll-loops,15.063786
clang-10, -O3 -march=native -funroll-loops,14.856931
clang-10, -O3 -march=native -funroll-loops,14.807038
clang-10, -O3 -march=native -funroll-loops,14.768269
clang-10, -O3 -march=native -funroll-loops,14.734506
clang-10, -O3 -march=native -funroll-loops,14.831118
clang-10, -O3 -march=native -funroll-loops,14.904428
clang-10, -O3 -march=native -funroll-loops,14.802736
gcc-9, -O3 -march=native -funroll-loops,14.76204
gcc-9, -O3 -march=native -funroll-loops,14.776274
gcc-9, -O3 -march=native -funroll-loops,15.021963
gcc-9, -O3 -march=native -funroll-loops,14.795407
gcc-9, -O3 -march=native -funroll-loops,15.053484
gcc-9, -O3 -march=native -funroll-loops,14.759865
gcc-9, -O3 -march=native -funroll-loops,14.868573
gcc-9, -O3 -march=native -funroll-loops,14.941019
gcc-9, -O3 -march=native -funroll-loops,14.877765
gcc-9, -O3 -march=native -funroll-loops,14.814659
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,17.448581
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,17.440937
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,17.643635
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,17.335975
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,17.678404
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,17.609682
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,17.40474
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,17.684856
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,17.558843
gcc-9, -Ofast -march=native -ffast-math -funroll-loops -floop-block,17.485316
