# LAB = 1 - N = 256 a 5324 - CODE = original - COMPILER: gcc-9
# FLAGS = -Ofast -march=native -ffast-math -funroll-loops -floop-block
# OBJ = barrer partículas con flags óptimos
# CPU = jupiterace
N,GFLOPS
256,17.63201
256,17.742737
256,17.528984
256,17.536042
256,17.456253
256,17.544318
256,17.53096
256,17.569458
256,17.54516
256,17.453673
500,17.575847
500,17.784925
500,17.949416
500,17.366734
500,17.885608
500,17.913703
500,17.530686
500,17.852566
500,17.78463
500,17.728519
864,18.268579
864,18.367973
864,18.230306
864,18.298749
864,18.380512
864,18.347892
864,18.538618
864,18.37576
864,18.348355
864,18.390215
1372,19.054761
1372,19.118454
1372,18.940137
1372,18.950871
1372,18.986268
1372,19.079739
1372,19.089517
1372,19.262839
2048,19.4721
2048,19.449401
2048,19.514255
2048,19.428952
2048,19.368148
2916,19.967322
2916,19.949674
2916,19.979363
4000,20.378802
5324,20.965163
