N,BLOCK,GFLOPS
256,32,18.031755
256,32,19.658011
256,32,15.175936
256,32,19.039137
256,32,19.655098
256,32,20.203961
256,32,18.723638
256,32,19.830113
256,32,18.276067
256,32,19.62297
256,64,21.908697
256,64,21.116888
256,64,21.896961
256,64,22.005005
256,64,22.052025
256,64,21.819759
256,64,22.030426
256,64,22.068001
256,64,21.482444
256,64,16.509673
256,128,16.9418
256,128,22.150512
256,128,22.163572
256,128,22.080304
256,128,21.947208
256,128,22.275958
256,128,22.211975
256,128,22.048105
256,128,21.931076
256,128,22.216602
256,256,22.584062
256,256,22.445079
256,256,20.1865
256,256,22.43038
256,256,22.612799
256,256,22.329753
256,256,21.799029
256,256,22.806852
256,256,22.176915
256,256,22.840596
500,32,21.574304
500,32,14.844427
500,32,21.728075
500,32,19.81094
500,32,19.530481
500,32,18.845194
500,32,19.358038
500,32,19.349858
500,32,17.595898
500,32,19.442622
500,64,21.736238
500,64,23.888789
500,64,24.256057
500,64,23.268215
500,64,24.212478
500,64,24.488091
500,64,24.554205
500,64,24.201042
500,64,24.233558
500,64,24.695713
500,128,26.217319
500,128,26.077681
500,128,26.006267
500,128,25.964307
500,128,26.104848
500,128,26.495016
500,128,26.442774
500,128,26.551462
500,128,26.227796
500,128,26.384692
500,256,17.555195
500,256,27.531479
500,256,17.593023
500,256,27.292275
500,256,27.412007
500,256,27.556319
500,256,27.847756
500,256,27.435376
500,256,27.460782
500,256,27.700881
864,32,24.469914
864,32,22.138321
864,32,21.19266
864,32,13.838114
864,32,23.627903
864,32,23.049522
864,32,21.237723
864,32,20.570394
864,32,23.702552
864,32,24.138344
864,64,26.883423
864,64,26.795801
864,64,26.139972
864,64,26.783322
864,64,24.720172
864,64,26.272381
864,64,26.259006
864,64,26.87904
864,64,26.502707
864,64,26.42514
864,128,28.57911
864,128,28.719244
864,128,29.201251
864,128,28.708044
864,128,28.428899
864,128,28.804281
864,128,28.886021
864,128,29.213163
864,128,29.069425
864,128,28.298336
864,256,30.595098
864,256,30.791471
864,256,30.514658
864,256,30.383019
864,256,30.205195
864,256,30.65429
864,256,30.40821
864,256,30.571876
864,256,30.009581
864,256,20.676549
864,512,31.467088
864,512,31.36905
864,512,30.938922
864,512,29.699515
864,512,30.589512
864,512,30.345116
864,512,31.156105
864,512,30.733919
864,512,29.756333
864,512,31.350314
1372,32,22.331588
1372,32,21.828309
1372,32,22.392605
1372,32,21.958055
1372,32,22.557752
1372,32,22.842723
1372,32,22.130112
1372,32,21.737368
1372,32,22.147359
1372,32,22.4698
1372,64,28.024017
1372,64,28.34031
1372,64,28.251086
1372,64,28.681711
1372,64,28.221521
1372,64,19.684147
1372,64,28.60176
1372,64,22.982511
1372,128,31.047907
1372,128,31.868749
1372,128,31.876168
1372,128,25.202609
1372,128,31.515547
1372,128,31.748488
1372,128,31.155521
1372,128,30.815652
1372,128,30.62677
1372,128,19.316332
1372,256,33.063078
1372,256,32.846476
1372,256,33.386181
1372,256,32.757446
1372,256,33.352204
1372,256,32.877888
1372,256,32.568523
1372,256,33.178788
1372,256,32.467828
1372,256,33.12669
1372,512,20.278255
1372,512,33.936559
1372,512,34.594178
