N,BLOCK,GFLOPS
256,32,1.700146
256,32,1.682008
256,32,1.581695
256,64,1.47304
256,64,1.49462
256,64,1.506645
256,128,1.233874
256,128,1.22221
256,128,1.220068
500,32,6.428361
500,32,6.344201
500,32,6.295507
500,64,5.788047
500,64,5.856299
864,32,21.441992
864,32,22.91158
864,32,21.221557
1372,32,45.716424
1372,32,45.902211
1372,32,46.188987
2048,32,106.164096
2048,32,105.340611
2048,32,104.823416
256,64,1.504358
256,64,1.503163
256,64,1.508085
256,128,1.219587
256,128,1.213827
256,128,1.232534
256,256,0.988528
256,256,0.982818
256,256,0.987379
864,64,19.469656
864,64,17.193919
864,64,20.291944
1372,64,42.832924
1372,64,43.229302
1372,64,42.632997
2048,64,98.955086
2048,64,98.069869
2048,64,97.519559
500,64,5.821786
500,64,5.790904
500,64,5.806693
500,128,4.492464
500,128,4.532148
864,128,13.958586
864,128,14.32517
500,128,4.574965
500,128,4.501604
500,128,4.523787
500,256,3.306546
1372,128,36.585418
1372,128,35.578983
1372,128,36.309872
2048,128,81.334609
2048,128,81.306159
2048,128,81.36071
864,256,10.859831
864,256,13.427978
1372,256,26.505563
1372,256,27.242629
1372,256,27.846988
1372,256,27.749436
1372,256,27.527279
1372,256,27.32527
2048,256,61.681259
